,major_name,major_description,cip_family,department,in_state_min_tuition,in_state_max_tuition,out_of_state_min_tuition,out_of_state_max_tuition,grad_in_state_min_tuition,grad_in_state_max_tuition,grad_out_of_state_min_tuition,grad_out_of_state_max_tuition,fees
68,"Wildlife, Fish and Wildlands Science and Management.","A program that prepares individuals to conserve and manage wilderness areas and the flora, marine and aquatic life therein, and manage wildlife reservations and zoological/aquarium facilities for recreational, commercial, and ecological purposes. Includes instruction in wildlife biology, marine/aquatic biology, environmental science,  freshwater and saltwater ecosystems, natural resources management and policy, outdoor recreation and parks management, the design and operation of natural and artificial wildlife habitats, applicable law and regulations, and related administrative and communications skills.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
65,Forest Resources Production and Management.,"A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
7,Agricultural Mechanization.,Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
18,Agricultural and Food Products Processing.,Instructional content is defined in code 01.0401.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
10,Agricultural Production Operations.,Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
29,Turf and Turfgrass Management.,"A program that focuses on turfgrasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation.  Includes instruction in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
54,Natural Resources Management and Policy.,Instructional content for this group of programs is defined in codes 03.0201 - 03.0299.,3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
40,Livestock Management.,"A program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products.  Includes instruction in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
33,Agricultural and Extension Education Services.,"A program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations.  Includes instruction in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable state laws and regulations, and communication skills.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
62,Forest Management/Forest Resources Management.,"A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
28,Plant Nursery Operations and Management.,"A program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation.  Includes instruction in applicable principles of plant science, farm and business management, nursery operations, equipment operation and maintenance, safety procedures, and personnel supervision.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
30,Floriculture/Floristry Operations and Management.,"A program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services.  Includes instruction in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
36,Agricultural Animal Breeding.,"A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations.  Includes instruction in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
32,Agricultural Public Services.,Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
9,Agricultural Mechanics and Equipment/Machine Technology.,"A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding, and shearing operations; and processing systems.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
15,Horse Husbandry/Equine Science and Management.,"A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and to manage horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
5,Agricultural/Farm Supplies Retailing and Wholesaling.,"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
56,"Water, Wetlands, and Marine Resources Management.","A program that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments.  Includes instruction in subjects such as wetlands, riverine, lacustrian, coastal, and oceanic water resources; water conservation and use; flood control; pollution control; water supply logistics; wastewater management; aquatic and marine ecology; aquatic and marine life conservation; and the economic and recreational uses of water resources.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
34,Agricultural Communication/Journalism.,"A program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information.  Includes instruction in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
47,Plant Protection and Integrated Pest Management.,"A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
57,Land Use Planning and Management/Development.,"A program that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit.  Includes instruction in natural resources management, natural resource economics, public policy, regional and land use planning, environmental impact assessment, applicable law and regulations, government and politics, principles of business and real estate land use, statistical and analytical tools, computer applications, mapping and report preparation, site analysis, cost analysis, and communications skills.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
4,Farm/Farm and Ranch Management.,"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
8,Agricultural Power Machinery Operation.,"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop-spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
41,Food Science and Technology.,Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.,1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
50,NATURAL RESOURCES AND CONSERVATION.,Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.,3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
64,Wood Science and Wood Products/Pulp and Paper Technology.,"A program that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products.  Includes instruction in wood classification and testing, product development, manufacturing and processing technologies, and the design and development of related equipment and systems.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
43,Food Technology and Processing.,"A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
17,Viticulture and Enology.,"A program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. Includes instruction in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
27,Landscaping and Groundskeeping.,"A program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients.  Includes instruction in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
14,Dairy Husbandry and Production.,"A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
45,Agronomy and Crop Science.,"A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
11,Animal/Livestock Husbandry and Production.,"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
16,Agroecology and Sustainable Agriculture.,"A program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of nonrenewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. Includes instruction in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
51,Natural Resources Conservation and Research.,Instructional content for this group of programs is defined in codes 03.0101 - 03.0199.,3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
58,Natural Resource Recreation and Tourism.,"A program that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmental studies; natural resource management and interpretation; tourism planning, management, and policies; public land use management and policies; communications; marketing; and public relations.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
59,Natural Resources Law Enforcement and Protective Services.,"A program that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and emergency and rescue procedures. Includes instruction in natural and physical sciences, natural resource management, outdoor field skills, firearms and outdoor equipment and vehicle operation, evidence collection and environmental sampling and monitoring, natural resource legislation, environmental compliance techniques, patrol procedures, investigation and report writing, interpersonal skills and crisis intervention, community liaison, public safety, public education, and public relations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 03.0203.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
0,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
21,Animal Training.,"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, care-giving (e.g., seeing-eye dogs), search and rescue, and police/security work.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
20,Dog/Pet/Animal Grooming.,"A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.",1,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
66,Forest Technology/Technician.,"A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision.",3,Agriculture and Environmental Studies,5000,15000,15000,30000,6000,20000,18000,35000,1000
279,Design and Applied Arts.,Instructional content for this group of programs is defined in codes 50.0401 - 50.0499.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
281,Industrial and Product Design.,"A program in the applied visual arts that prepares individuals to use artistic techniques to effectively communicate ideas and information to business and consumer audiences via the creation of effective forms, shapes, and packaging for manufactured products.  Includes instruction in designing in a wide variety of plastic and digital media, prototype construction, design development and refinement, principles of cost saving, and product structure and performance criteria relevant to aesthetic design parameters.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
304,Arts Management.,Moved from 50.0704 to 50.1002,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
302,Fine and Studio Arts.,Instructional content for this group of programs is defined in codes 50.0701 - 50.0799.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
284,Interior Design.,"A program in the applied visual arts that prepares individuals to apply artistic principles and techniques to the professional planning, designing, equipping, and furnishing of residential and commercial interior spaces.  Includes instruction in computer applications, drafting, and graphic techniques; principles of interior lighting, acoustics, systems integration, and color coordination; furniture and furnishings; textiles and their finishing; the history of interior design and period styles; basic structural design; building codes and inspection regulations; and applications to office, hotel, factory, restaurant and housing design.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
285,Graphic Design.,"A program that prepares individuals to apply artistic and computer techniques to the interpretation of technical and commercial concepts. Includes instruction in computer-assisted art and design, printmaking, concepts sketching, technical drawing, color theory, imaging, studio technique, still and life modeling, multimedia applications, communication skills and commercial art business operations.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
296,Costume Design.,"A program that prepares individuals to design and select costumes for characters in theatre and the performing arts and to serve as part of a production team. Includes instruction in costume design, script analysis, theory and criticism, period styles, history of costume, stage makeup, rendering, and costume construction.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
312,Metal and Jewelry Arts.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by fashioning art works from gems, other stones, and precious metals.  Includes instruction in gemology, metalsmithing and finishing, stone cutting and polishing, metal and non-metal casting and molding, electroforming, metal coloring, enameling, photo etching, lapidary technique and art, design concepts, and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
310,Ceramic Arts and Ceramics.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by producing art works out of clay and similar materials.  Includes instruction in handbuilt and wheelthrown techniques; molding; slips and glazes; trimming and decorating; firing and kiln operation; oxidation; mixed media; ceramic murals; and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
287,Game and Interactive Media Design.,"A program that focuses on the design, development, and programming of interactive media entertainment, including computer and video games, virtual environments,  Internet applications, and other interactive media. Includes instruction in theory of games, turn-based games, real-time games, visual and interactive design, story development, animation, simulation, and programming.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
328,Fine and Studio Arts Management.,"A program that prepares individuals to organize and manage fine and studio art organizations, operations, and facilities. Includes instruction in business and financial management; marketing and fundraising; personnel management and labor relations; event promotion and management; public relations and arts advocacy; arts law; and applications to specific arts activities such as galleries, museums, studios, foundations, and community organizations.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
327,"Arts, Entertainment,and Media Management.",Instructional content for this group of programs is defined in codes 50.1001 - 50.1099.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
297,Film/Video and Photographic Arts.,Instructional content for this group of programs is defined in codes 50.0601 - 50.0699.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
288,Drama/Theatre Arts and Stagecraft.,Instructional content for this group of programs is defined in codes 50.0501 - 50.0599.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
275,Digital Arts.,"A general, undifferentiated program that focuses on the use of computerized digital images as the primary medium of expression in the visual and performing arts, and that may prepare individuals for a wide variety of careers using new media, including graphic design, digital animation, motion graphics, 3D visualization, game and interactive media design, music and sound design, video production, web design, photography, and other fields.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
311,"Fiber, Textile and Weaving Arts.","A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by constructing art works from woven or non-woven fabrics and fibrous materials.  Includes instruction in weaving techniques and loom operation; non-woven techniques such as knitting, coiling, netting, and crocheting; quilting; dyeing and pigmentation; printing and other finishing techniques; pattern design; tapestry; and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
289,Technical Theatre/Theatre Design and Technology.,"A program that prepares individuals to apply artistic, technical and dramatic principles and techniques to the communication of dramatic information, ideas, moods, and feelings through technical theatre methods.  Includes instruction in set design, lighting design, sound effects, theatre acoustics, scene painting, property management, costume design, and technical direction and production and use of computer applications to support these functions.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
283,Fashion/Apparel Design.,"A program that prepares individuals to apply artistic principles and techniques to the professional design of commercial fashions, apparel, and accessories, and the management of fashion development projects.  Includes instruction in apparel design; accessory design; the design of men's', women's', and children's' wear; flat pattern design; computer-assisted design and manufacturing; concept planning; designing in specific materials; labor and cost analysis; history of fashion; fabric art and printing; and the principles of management and operations in the fashion industry.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
276,"Crafts/Craft Design, Folk Art and Artisanry.",Instructional content is defined in code 50.0201.,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
294,Theatre/Theatre Arts Management.,Moved from 50.0508 to 50.1004,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
318,Voice and Opera.,"A program that prepares individuals to master the human voice and performing art as solo and/or ensemble performers in concert, choir, opera, or other forms of singing.  Includes instruction in voice pedagogy, diction, vocal physiology and exercise, expressive movement, repertoire, recital, and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
315,Musicology and Ethnomusicology.,"A program that focuses on the systematic study of the forms and methods of music art, and the functions of music, in Western and non-Western societies and cultures.  Includes instruction in music theory, musicological research methods, and studies of specific cultural styles such as jazz, folk music, rock, ethnic musical traditions, and the music of non-Western cultures.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
290,Playwriting and Screenwriting.,"A program that focuses on the principles and techniques for communicating dramatic information, ideas, moods, and feelings through the composition of creative written works for the theatre, film, and/or television. Includes instruction in creative writing craft, scene writing, script development, stage and/or camera instructions, line and moment analysis, script reading, script editing, and the creation of full productions.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
319,Music Management and Merchandising.,Moved from 50.0909 to 50.1003,50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
314,Music Theory and Composition.,"A program that focuses on the study of the principles of sound manipulation as applied to the creation of music, and the techniques of creating and arranging music.  Includes instruction in aural theory, melody, counterpoint, complex harmony, modulation, chromatics, improvisation, progressions, musical writing, instrumentation, orchestration, electronic and computer applications, studies of specific musical styles, and development of original creative ability.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
280,Commercial and Advertising Art.,"A program in the applied visual arts that prepares individuals to use artistic techniques to effectively communicate ideas and information to business and consumer audiences via illustrations and other forms of digital or printed media.  Includes instruction in concept design, layout, paste-up, and techniques such as engraving, etching, silkscreen, lithography, offset, drawing and cartooning, painting, collage, and computer graphics.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
293,Directing and Theatrical Production.,"A program that prepares individuals to manage the planning, design, preparation, and production of plays and other theatrical entertainment programs.  Includes instruction in theatrical design, program management, dramatic production, rehearsal management, personnel management and casting, actor coaching, directing concepts and techniques, theater history, scene work, script interpretation, business management, marketing, public relations, and communications skills.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
313,"Music History, Literature, and Theory.","A program that focuses on the study of the historical evolution of music as a social and intellectual phenomenon, the development of musical instruments and techniques, and the analysis and criticism of musical literature.  Includes instruction in music history research methods, aesthetic analysis of musical compositions, history of musical writing and notation, the development of musical instruments, the development of music theory, and the study of specific periods, cultural traditions, styles, and themes.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
291,"Theatre Literature, History and Criticism.","A program that focuses on the study of the history, literature, theory, and analysis of written plays, theatrical productions, and theatre methods and organization.  Includes instruction in historical method; critical theory; literary analysis; the study of themes and archetypes in dramatic literature; the history of acting, directing, and technical theatre; and the study of specific historical and cultural styles and traditions.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
299,Cinematography and Film/Video Production.,"A program that prepares individuals to communicate dramatic information, ideas, moods, and feelings through the making and producing of films and videos. Includes instruction in theory of film, film technology and equipment operation, film production, film directing, film editing, cinematographic art, film audio, techniques for making specific types of films and/or videos, media technologies, computer image making, multi-media production, and the planning and management of film/video operations.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
303,"Art History, Criticism and Conservation.","A program that focuses on the study of the historical development of art as social and intellectual phenomenon, the analysis of works of art, and art conservation.  Includes instruction in the theory of art, art history research methods, connoisseurship, the preservation and conservation of works of art, and the study of specific periods, cultures, styles, and themes.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
317,Keyboard Instruments.,"A program that prepares individuals to master the piano, organ, or related keyboard instruments and performing art as solo, ensemble, and/or accompanist performers.  Includes instruction in piano and keyboard pedagogy, ensemble playing, accompanying, service playing, repertoire, keyboard and pedal skills, recital, and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
324,Brass Instruments.,"A program that prepares individuals to master a brass instrument and performing art as solo, ensemble, and/or accompanist performers. Includes instruction in playing and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
309,Printmaking.,"A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by rendering art concepts onto surfaces and transferring images, via ink or dyes, onto paper or fabric.  Includes instruction in monochrome and color printing; tonality; chemistry; equipment set-up and maintenance; techniques such as serigraphy, lithography, intaglio, woodcut, block, stencil, relief, etching, and composite; and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
325,Woodwind Instruments.,"A program that prepares individuals to master a woodwind instrument and performing art as solo, ensemble, and/or accompanist  performers. Includes instruction in playing and personal style development.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
282,Commercial Photography.,"A program in the applied visual arts that prepares individuals to use artistic techniques to effectively communicate ideas and information to business and consumer audiences, and recording events and people, via digital, film, still and video photography.  Includes instruction in specialized camera and equipment operation and maintenance, applications to commercial and industrial needs, and photography business operations.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
286,Illustration.,"A program that prepares individuals to use artistic techniques to develop and execute interpretations of the concepts of authors and designers to specifications.  Includes instruction in book illustration, fashion illustration, map illustration, rendering, exhibit preparation, textual layout, cartooning, and the use of various artistic techniques as requested by clients.",50,Arts and Design,5000,15000,15000,30000,6000,20000,18000,35000,1000
